,C2ST Accuracy
$v$,0.5194750000000001
$a$,0.503725
$z$,0.5127
$\tau$,0.5147
$s_v$,0.5051
$s_\tau$,0.5130375
$v$ -- $u_1$ | $c_{1}$,0.5100125
$a$ -- $u_1$ | $c_{1}$,0.509675
$z$ -- $u_1$ | $c_{1}$,0.510275
$v$ -- $u_2$ | $c_{1}$,0.5060250000000001
$a$ -- $u_2$ | $c_{1}$,0.5143375
$z$ -- $u_2$ | $c_{1}$,0.50945
_mean_accuracy_,0.510709375
_joint_c2st_,0.780325
