,C2ST Accuracy
$v$,0.5170125
$a$,0.54125
$z$,0.5325749999999999
$\tau$,0.5094875
$s_v$,0.5363
$s_\tau$,0.5161749999999999
$v$ -- $u_1$ | $c_{1}$,0.5099
$a$ -- $u_1$ | $c_{1}$,0.508
$z$ -- $u_1$ | $c_{1}$,0.510025
$v$ -- $u_2$ | $c_{1}$,0.5203
$a$ -- $u_2$ | $c_{1}$,0.5179375
$z$ -- $u_2$ | $c_{1}$,0.5188375
_mean_accuracy_,0.5198166666666667
_joint_c2st_,0.9593375
