id,stim_type,factual_truth,resp,correct,rt,rt_question,rt_total,condition
1,1,1,0,0,1.50363479997031,1.83225380000658,3.33588859997689,2
1,1,0,1,0,0.904189300024882,1.68491529999301,2.589104600017892,4
1,0,0,1,0,1.01176110003144,1.13387190003414,2.1456330000655797,3
1,0,0,1,0,1.11587609990966,2.48043500003405,3.5963110999437102,3
1,0,1,1,1,1.02197890006937,1.54518770007417,2.56716660014354,1
1,1,0,1,0,1.0429020000156,1.11883539997507,2.16173739999067,4
1,1,0,0,1,1.75157979992218,3.07419999991544,4.82577979983762,4
1,1,0,0,1,1.49047390010674,2.43194749997929,3.92242140008603,4
1,0,0,1,0,1.07763900002465,1.44060760003049,2.5182466000551402,3
1,0,1,1,1,1.81870369997341,2.23718620010186,4.05588990007527,1
1,0,1,0,0,1.11050989991054,2.26153500005603,3.3720448999665704,1
1,1,0,1,0,1.15665919997264,1.45249890000559,2.60915809997823,4
1,1,0,1,0,1.12366000004113,1.60591949999798,2.72957950003911,4
1,0,1,0,0,1.11245310003869,1.47857680008747,2.59102990012616,1
1,1,1,0,0,1.7347587000113,1.31727200001478,3.05203070002608,2
1,1,1,1,1,1.02017430006526,1.71764299995266,2.73781730001792,2
1,0,0,0,1,1.17927920003422,1.17520529998001,2.3544845000142303,3
1,0,1,1,1,0.984003899968229,1.2972529999678999,2.281256899936129,1
1,1,1,0,0,0.894140499993227,2.38541830005124,3.279558800044467,2
1,0,1,1,1,2.57925059995614,1.91757389996201,4.49682449991815,1
1,0,0,0,1,1.01309220003895,2.2254219999304,3.23851419996935,3
1,1,0,1,0,1.16816300002392,1.31068130000494,2.47884430002886,4
1,1,0,0,1,1.2564621999627,1.82626999996137,3.08273219992407,4
1,0,0,1,0,2.16929099999834,1.69462470000144,3.86391569999978,3
1,0,0,1,0,1.39303129992913,1.47902359999716,2.8720548999262903,3
1,0,0,1,0,2.39163770002779,1.34643949999008,3.7380772000178704,3
1,0,0,0,1,0.936961699975654,2.11103279993404,3.047994499909694,3
1,1,1,1,1,1.3807612999808,1.58628789999057,2.9670491999713704,2
1,0,0,0,1,1.82080300000962,1.55861680000089,3.37941980001051,3
1,1,0,1,0,1.02981350000482,1.30939050007146,2.33920400007628,4
1,1,1,0,0,1.12428910005838,1.39125540002715,2.5155445000855297,2
1,1,1,0,0,1.52697649993934,1.62241710000671,3.14939359994605,2
1,0,1,1,1,2.3097689000424,2.86380759999156,5.17357650003396,1
1,0,0,0,1,1.43015179992653,2.55357029999141,3.98372209991794,3
1,1,1,0,0,2.20081389998086,1.93695270002354,4.1377666000044,2
1,0,1,1,1,1.17859129991848,2.40376880008262,3.5823601000011003,1
1,1,1,1,1,0.936478199902922,1.63832130003721,2.574799499940132,2
1,1,1,1,1,0.863684299984016,1.40782099997159,2.271505299955606,2
1,0,0,0,1,1.37335200002417,1.26039909990504,2.63375109992921,3
1,0,0,0,1,1.37241660000291,1.44713330001105,2.81954990001396,3
1,1,0,1,0,1.38277310004923,1.33156839990988,2.71434149995911,4
1,1,0,0,1,1.16420699993614,1.25205730006564,2.41626430000178,4
1,1,1,1,1,1.24922490003519,1.44386039988603,2.6930852999212203,2
1,1,0,1,0,1.01326749997679,1.26066010002978,2.2739276000065702,4
1,0,1,0,0,2.25677900004666,1.31909050000831,3.57586950005497,1
1,0,1,1,1,1.65516079997178,1.15103210008238,2.80619290005416,1
1,0,0,1,0,1.32395849993918,2.09985490003601,3.42381339997519,3
1,0,0,0,1,1.98054859996773,1.73117259994615,3.71172119991388,3
1,0,1,1,1,1.94379669998307,1.45013370004017,3.39393040002324,1
1,0,1,0,0,1.02541480003856,1.73593829991296,2.7613530999515197,1
1,1,1,1,1,0.907962400000542,1.59906510007568,2.507027500076222,2
1,0,0,1,0,1.40818469994701,1.23507099994458,2.64325569989159,3
1,0,1,0,0,1.84142519999295,1.85519859998021,3.6966237999731604,1
1,1,0,1,0,1.09870600001886,1.09165029996075,2.19035629997961,4
1,0,0,0,1,1.44539800006896,3.03811780002434,4.4835158000933,3
1,0,0,1,0,0.936557000037283,1.54791329998989,2.484470300027173,3
1,0,0,0,1,1.54398899991065,1.10968270001467,2.65367169992532,3
1,1,1,0,0,1.69323540001642,1.29421540000476,2.98745080002118,2
