;NRMSE;Calibration Error;Posterior Contraction
0;0.08292392646333338;0.0297368421052632;0.9112497650821137
1;0.0536866582919203;0.020263157894736872;0.9686913972662974
2;0.06871849626261975;0.017763157894736842;0.9619147940843986
3;0.03579535409970167;0.0053947368421052855;0.9878139796481471
4;0.09210230995517732;0.017368421052631533;0.9155401643928647
5;0.03464800279956832;0.045;0.9883532151558261
6;0.05841889686073436;0.006710526315789486;0.9629727005054823
7;0.0957295945913832;0.00815789473684203;0.9097794822468576
8;0.04289537190786614;0.06960526315789475;0.9886918683270232
9;0.06157438921630485;0.016973684210526307;0.9649653414026957
