;NRMSE;Log Gamma;Calibration Error;Posterior Contraction
0;0.09237035051236009;3.6752688570652787;0.02236842105263155;0.8496216198950532
1;0.07016671667176654;2.9978394741117773;0.017368421052631616;0.9501790243121999
2;0.07205487488947969;1.889341568484297;0.017236842105263106;0.9476713656361111
3;0.07044433765934427;1.02653048542676;0.012631578947368438;0.9517400165439479
4;0.20295186661608092;2.4213589399052933;0.015263157894736867;0.3696532516239564
5;0.1162865556740594;3.692523312042119;0.009473684210526329;0.8030559489884836
6;0.11622526288671786;2.667161290846697;0.013421052631578945;0.8457466207227435
7;0.06142985229821475;3.2091038539603693;0.020263157894736816;0.9686310487571812
8;0.07892831609426432;2.513701646453041;0.006315789473684219;0.9287448693763993
9;0.05214949188283419;1.3512596866385382;0.047631578947368414;0.9798606364354848
10;0.21320999322522688;3.424702701040396;0.012368421052631588;0.3714696326778882
11;0.09936280665470629;2.950053139068659;0.025394736842105303;0.9093599905497123
12;0.1111379983751064;1.693040219003301;0.02355263157894741;0.8243258880638593
13;0.06426051833084068;0.3861801686179961;0.013026315789473695;0.967948962704793
14;0.08368655210864084;2.289840091479525;0.026052631578947355;0.945454061301096
15;0.056405890805158954;2.8682225513442683;0.0223684210526316;0.978596800335962
16;0.17071689048207553;2.4069366101503937;0.020921052631579007;0.3811615244725004
17;0.12968445184629807;-0.9340166436844244;0.013947368421052628;0.8846841540078556
18;0.16061883126234233;0.3861801686179961;0.016842105263157936;0.6482806264175681
19;0.09715395421977396;1.7859671139674698;0.024342105263157925;0.9134223178570273
20;0.0970055046205957;3.655745413865742;0.00697368421052633;0.8884580470754909
21;0.07623440895204911;3.0451353466600426;0.02092105263157895;0.9650366843568827
22;0.2383641132801128;2.5915125624805597;0.021315789473684232;0.24313849030618795
23;0.1346651465655032;2.9500531390686704;0.01473684210526316;0.8666734344624212
