;NRMSE;Calibration Error;Posterior Contraction
0;0.057222325231307034;0.01302631578947372;0.9465306531695656
1;0.02428191815959946;0.022236842105263124;0.9944343982006364
2;0.04144249317832697;0.03210526315789475;0.9814709722748847
3;0.026970695711711092;0.013815789473684212;0.9952221495637387
4;0.230734152841841;0.010131578947368436;0.29000652620754447
5;0.06857217965156875;0.018289473684210494;0.9774441394320779
6;0.06493572153906282;0.025789473684210543;0.9574652706149909
7;0.019552922889078152;0.014078947368421052;0.9949106338275309
8;0.06999129905220489;0.021973684210526284;0.9636625412789948
9;0.020950145356162166;0.01184210526315788;0.9949561649115171
