;NRMSE;Log Gamma;Calibration Error;Posterior Contraction
0;0.08379426749597102;2.940414601242233;0.014473684210526333;0.9205288636604869
1;0.11288240236156113;2.8578024948813097;0.030263157894736825;0.8276274406493385
2;0.04875235758600589;2.9332964252882214;0.029473684210526346;0.9639073441429029
3;0.058428926074546944;-2.0140697143747315;0.01578947368421052;0.9694462725034135
4;0.2591743815334001;3.272018875007299;0.017631578947368443;0.08888040156584787
5;0.13167979493176304;1.9408689312925793;0.025789473684210473;0.7870063858536099
6;0.07299446662823608;3.1642746946190634;0.012763157894736837;0.9043688077743909
7;0.08240401017595948;1.5768913569819016;0.03881578947368422;0.9011291865665976
8;0.04280141438804287;1.0225906335725263;0.0094736842105263;0.9724715226080052
9;0.04748593980217497;1.4004208242722807;0.07078947368421046;0.9808671959145014
10;0.20587109491803895;0.4997126389129259;0.030131578947368454;0.3363508498172526
11;0.119616702242344;3.5412951176487906;0.02644736842105261;0.8834821585804126
12;0.0805286126789862;3.1313077714033533;0.01315789473684209;0.904909294846262
13;0.10228052636623938;3.212346844493445;0.01881578947368423;0.8876470744885908
14;0.05701563059167668;1.837485419231592;0.016973684210526307;0.9739542183996592
15;0.062131481201312046;4.065255979517846;0.009736842105263169;0.9858173405620386
16;0.1976783679633895;0.916820778400132;0.01013157894736843;0.33699917183189415
17;0.09570979949306319;-0.1564665401071315;0.039342105263157845;0.8892172433272348
18;0.12004777144954168;3.8544936293703507;0.014210526315789479;0.8372009053022756
19;0.13912849872938188;2.9762029613388012;0.009342105263157874;0.7815792440359162
20;0.08918599777054584;4.684127328529492;0.010657894736842144;0.9399948714401862
21;0.06893044152940644;2.314981049908119;0.015394736842105294;0.9673377514569137
22;0.2590373609833826;1.2226389952233558;0.013289473684210573;0.19338611338511769
23;0.14404715921521458;3.8544936293703396;0.01513157894736844;0.8206269581633708
