;NRMSE;Calibration Error;Posterior Contraction
0;0.07832610825260936;0.01671052631578951;0.9198524799433538
1;0.049585067411398426;0.016315789473684172;0.9762911722197026
2;0.043232241091472334;0.03578947368421055;0.9733580922866332
3;0.05452108060404554;0.022894736842105273;0.9720788998526058
4;0.26171164874571173;0.034605263157894764;0.07818176547903971
5;0.06545957051470631;0.04394736842105265;0.9663868303547707
6;0.08692016850721955;0.017631578947368443;0.9150214528954663
7;0.05647762888100641;0.024605263157894713;0.9848380912059689
8;0.04113143474482041;0.015789473684210548;0.9838478274447557
9;0.03233622812609408;0.04000000000000001;0.993340205790921
10;0.20083963046445874;0.015131578947368413;0.44886809459838495
11;0.07297078661754944;0.015000000000000027;0.9398065008621199
12;0.0657826332820233;0.05697368421052629;0.9839098944474006
13;0.030685433797842387;0.03921052631578949;0.9884285881851456
14;0.034969096729287025;0.022368421052631593;0.9919344647110834
15;0.11587532520289165;0.01657894736842104;0.8654842234356047
16;0.11086628915916151;0.01342105263157889;0.9577984983642649
17;0.06816513774608587;0.028815789473684184;0.9695409712690939
