;NRMSE;Calibration Error;Posterior Contraction
0;0.08999104961979064;0.03328947368421055;0.8925590455017323
1;0.055037652874278836;0.009605263157894742;0.9691595061249743
2;0.0442409443219;0.015789473684210548;0.9769419033477118
3;0.026766546851538994;0.015526315789473666;0.9952212448297759
4;0.19320522608247875;0.01565789473684213;0.4325717632372051
5;0.0605110479382127;0.007763157894736805;0.9815354010393484
6;0.08729107117100277;0.020657894736842125;0.9300431006079862
7;0.047524127082031326;0.012500000000000006;0.9894097332675584
8;0.050385662206800894;0.04539473684210529;0.9810055570894278
9;0.07355843999017572;0.018157894736842067;0.9467404107973725
10;0.04730344646718633;0.014473684210526333;0.9904839041771298
11;0.04139094469559263;0.024342105263157866;0.975609131300295
