,NRMSE,Posterior Contraction,Calibration Error
$v$,0.08359906077384949,0.9223916530609131,0.06447368421052624
$a$,0.049378544092178345,0.9772584438323975,0.041052631578947396
$z$,0.0616217702627182,0.9522998929023743,0.04473684210526316
$\tau$,0.0681428536772728,0.9245743155479431,0.06407894736842101
