,C2ST Accuracy
$v$,0.5102875000000001
$v_\theta$,0.5006625
$a$,0.509575
$\tau$,0.5146749999999999
$s_v$,0.5101125
$s_\tau$,0.51815
$v$ -- $u_1$ | $c_{1}$,0.5173875000000001
$a$ -- $u_1$ | $c_{1}$,0.5135125
$v$ -- $u_2$ | $c_{1}$,0.507075
$a$ -- $u_2$ | $c_{1}$,0.5109250000000001
_mean_accuracy_,0.5112362500000002
_joint_c2st_,0.7634
