,C2ST Accuracy
$v$,0.5050874999999999
$v_\theta$,0.5050625
$a$,0.5149375
$\tau$,0.5121874999999999
$s_v$,0.5119625
$s_\tau$,0.5158750000000001
$v$ -- $u_1$ | $c_{1}$,0.508625
$a$ -- $u_1$ | $c_{1}$,0.5052999999999999
$v$ -- $u_2$ | $c_{1}$,0.5064500000000001
$a$ -- $u_2$ | $c_{1}$,0.5039
_mean_accuracy_,0.50893875
_joint_c2st_,0.6816
