,C2ST Accuracy
$v$,0.5189125000000001
$v_{\mathrm{diff}}$,0.504325
$a$,0.5133624999999999
$\tau$,0.5083625
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.5055875
$a$ -- $u_1$ | $c_{1}$,0.5051125
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.508175
$a$ -- $u_2$ | $c_{1}$,0.5076875000000001
_mean_accuracy_,0.5089406249999999
_joint_c2st_,0.611275
