Condition,NRMSE,Calibration Error,Posterior Contraction
Baseline,0.05760910920798775,0.01677631578947365,0.9655594229698181
No SAB,0.05780868418514723,0.03871710526315785,0.9435300230979919
No MAB,0.25536637753248215,0.017039473684210476,0.03668474406003948
No FiLM,0.054714294150471625,0.0214144736842105,0.9660387933254242
No Fourier,0.05266797915101048,0.023322368421052574,0.9653883427381516
