Condition,NRMSE,Calibration Error,Posterior Contraction
Baseline,0.0715320225805044,0.02022368421052628,0.9376232326030731
No SAB,0.0772355437278747,0.018289473684210487,0.925361829996109
No MAB,0.26343921571969986,0.016065789473684134,0.029963868856430032
No FiLM,0.07051991671323771,0.022592105263157847,0.9463113069534301
No Fourier,0.06727626956999297,0.026934210526315738,0.9465452194213867
