Condition,NRMSE,Calibration Error,Posterior Contraction
Baseline,0.08051540236920114,0.022456140350877143,0.8940221344431242
No SAB,0.08237397205084555,0.02071271929824555,0.8908687134583791
No MAB,0.261577529211839,0.02666666666666663,0.08622058232625324
No FiLM,0.0733142169192433,0.020690789473684166,0.9031251619259516
No Fourier,0.07603381418933465,0.020307017543859624,0.9037206172943115
