model,method,NRMSE_mean,NRMSE_sem,Calibration Error_mean,Calibration Error_sem,Posterior Contraction_mean,Posterior Contraction_sem
DDM,BayesFlow,0.07673466306804543,0.006535922711456474,0.02040526315789469,0.0019286221394789768,0.9035694255697577,0.022286703105312156
DDM,CogFormer_Family,0.08504924908280369,0.006638478235720377,0.021160526315789432,0.002328305360362746,0.8853242725133896,0.024041854922374987
DDM,CogFormer_ModelClass,0.0910498613119125,0.006700097659060017,0.03371842105263152,0.0029353170884306697,0.8626456731557846,0.0254822112999644
RDM,BayesFlow,0.10579403830341766,0.007866206564670278,0.023595537757437023,0.0017961050977651557,0.8082590769061665,0.030294186993221405
RDM,CogFormer_Family,0.11265338908718976,0.007968699649524553,0.024985697940503388,0.0022782772870904994,0.78999314100846,0.031740490298088724
RDM,CogFormer_ModelClass,0.12476008409715213,0.008777749093296218,0.0746453089244851,0.01485565136460642,0.7544974075711292,0.03197506557452374
CDM,BayesFlow,0.06528232491481056,0.008050295975418155,0.02259153318077798,0.001602574878877528,0.9091260127151699,0.030834560098640176
CDM,CogFormer_Family,0.07391320359285755,0.008377541213050422,0.022717391304347787,0.0021558380484281527,0.8898764447025631,0.03284666436812767
CDM,CogFormer_ModelClass,0.14964401875825029,0.014790013977790683,0.09616132723112125,0.015074230142670373,0.750087290354397,0.04400682213217952
