;NRMSE;Calibration Error;Posterior Contraction
0;0.13951203378200572;0.018947368421052657;0.7602644346509941
1;0.11699322306326704;0.0351315789473684;0.7798513195922094
2;0.08587815022978729;0.01460526315789476;0.939747413518022
3;0.035808006864332276;0.013421052631578962;0.992407470701743
4;0.21273745881469586;0.028289473684210503;0.3407500301193053
5;0.09736294120305854;0.025921052631578942;0.9684563562794277
6;0.09945054452873581;0.02881578947368421;0.9171901403148075
7;0.022457904258428422;0.014605263157894732;0.9928435736630751
8;0.09155892888918814;0.03407894736842103;0.9363493516414074
9;0.030331363719087276;0.04092105263157897;0.9924556364509278
