,NRMSE,Posterior Contraction,Calibration Error
$v$,0.05087985098361969,0.9658000469207764,0.07131578947368417
$v_\theta$,0.08332803845405579,0.9174731373786926,0.03815789473684203
$a$,0.03665032237768173,0.9792754650115967,0.030000000000000054
$\tau$,0.05852923542261124,0.9633285999298096,0.023552631578947363
