,NRMSE,Posterior Contraction,Calibration Error
$v$,0.060866673192771684,0.9427459598636178,0.02934210526315789
$v_\theta$,0.02531994661812973,0.9947207730677319,0.013421052631579
$a$,0.03364000252686315,0.977669740689046,0.012105263157894758
$\tau$,0.041259532754379685,0.9869182555067455,0.013947368421052611
$v$ -- $u_1$ | $c_{1}$,0.06497759880323636,0.9563280494373081,0.01315789473684209
$a$ -- $u_1$ | $c_{1}$,0.01969185950118691,0.9942677568410191,0.009210526315789492
$v$ -- $u_2$ | $c_{1}$,0.06508404181784128,0.9570804821140956,0.012105263157894758
$a$ -- $u_2$ | $c_{1}$,0.022523039756684453,0.9943256287021675,0.013157894736842146
