,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v_{\mathrm{diff}}$,0.1328064501285553,0.7059733271598816,0.05052631578947364,-0.8664859679705254
$a$,0.12376207113265991,0.8547974824905396,0.26026315789473686,-inf
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.10313255339860916,0.8491027355194092,0.02144736842105266,0.877725835519534
$a$ -- $u_1$ | $c_{1}$,0.04779522120952606,0.9698911905288696,0.10236842105263158,-0.08571987657584508
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.1226731389760971,0.8443253636360168,0.015789473684210548,2.4481487373553152
$a$ -- $u_2$ | $c_{1}$,0.04609334468841553,0.9713649749755859,0.04210526315789473,-9.942870659697267
