Condition,NRMSE,Calibration Error,Posterior Contraction
Baseline,0.10251297822429069,0.016666666666666618,0.8218783603774177
No SAB,0.10285775053004421,0.028304093567251425,0.8334676855140262
No MAB,0.267860090567006,0.018245614035087673,0.028626730044682795
No FiLM,0.09927678439352243,0.01986842105263155,0.8383417891131507
No Fourier,0.09422877410219771,0.02534356725146196,0.8490805708699756
