,C2ST Accuracy
$v$,0.5080250000000001
$v_{\mathrm{diff}}$,0.5165124999999999
$a$,0.5033875
$\tau$,0.5088625
$s_v$,0.5139625
$s_\tau$,0.5126
_mean_accuracy_,0.5105583333333333
_joint_c2st_,0.534975
