,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.1749451756477356,0.5674036145210266,0.010789473684210515,-1.218387124123334
$v_{\mathrm{diff}}$,0.12296882271766663,0.7741925716400146,0.02592105263157897,-3.1025126609943112
$a$,0.09338437765836716,0.7931761145591736,0.02118421052631575,-9.432099377417815
$\tau$,0.05996522679924965,0.9699787497520447,0.02447368421052637,-22.577313797569925
$s_v$,0.25313112139701843,0.18176031112670898,0.015394736842105294,2.6457158924162165
$s_\tau$,0.10404696315526962,0.8102856278419495,0.051052631578947405,-4.418653664285173
