,C2ST Accuracy
$v$,0.5049750000000001
$a$,0.5109125
$z$,0.5079375
$\tau$,0.5094125
$v$ -- $u_1$ | $c_{1}$,0.50405
$a$ -- $u_1$ | $c_{1}$,0.5097125
$z$ -- $u_1$ | $c_{1}$,0.5050375
$v$ -- $u_2$ | $c_{1}$,0.5120875
$a$ -- $u_2$ | $c_{1}$,0.5093375
$z$ -- $u_2$ | $c_{1}$,0.511825
_mean_accuracy_,0.5085287500000001
_joint_c2st_,0.6734875
