,C2ST Accuracy
$v$,0.5062249999999999
$v_\theta$,0.503575
$a$,0.5077375
$\tau$,0.5145875
$s_v$,0.51
$s_\tau$,0.4962000000000001
_mean_accuracy_,0.5063874999999999
_joint_c2st_,0.5327
