,C2ST Accuracy
$v$,0.49891250000000004
$v_\theta$,0.5007499999999999
$a$,0.5017875
$\tau$,0.5053625
$s_v$,0.5168
$s_\tau$,0.4998250000000001
_mean_accuracy_,0.50390625
_joint_c2st_,0.51555
