,C2ST Accuracy
$v$,0.509225
$v_{\mathrm{diff}}$,0.5166875
$a$,0.5018750000000001
$\tau$,0.5111375
$s_v$,0.511775
$s_\tau$,0.5136125
_mean_accuracy_,0.51071875
_joint_c2st_,0.5325
