,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.057046495378017426,0.9644088745117188,0.04842105263157892,0.47204076317588334
$v_\theta$,0.08251681923866272,0.9271380305290222,0.019078947368421067,-8.040547319991973
$a$,0.037654709070920944,0.979484498500824,0.011447368421052623,-16.009146779723828
$\tau$,0.05363278090953827,0.9749131202697754,0.038684210526315765,-3.1599984067970044
$s_v$,0.2699492871761322,0.12077438831329346,0.015394736842105239,1.6380598564596112
$s_\tau$,0.10828012228012085,0.8348844647407532,0.02092105263157898,-1.7878103210585772
