,C2ST Accuracy
$v$,0.5002624999999999
$a$,0.501275
$z$,0.49844999999999995
$\tau$,0.5009625000000001
$s_v$,0.5002125
$s_\tau$,0.508775
_mean_accuracy_,0.50165625
_joint_c2st_,0.5103875
