,C2ST Accuracy
$v$,0.5094875000000001
$a$,0.5011875
$z$,0.505275
$\tau$,0.500025
$s_v$,0.5090999999999999
$s_\tau$,0.5004125
_mean_accuracy_,0.5042479166666667
_joint_c2st_,0.5257625000000001
