,NRMSE,Posterior Contraction,Calibration Error
$v$,0.18823374807834625,0.46821412444114685,0.013421052631578965
$v_{\mathrm{diff}}$,0.16425013542175293,0.66289883852005,0.023815789473684235
$a$,0.1503588855266571,0.7239012718200684,0.012631578947368383
$\tau$,0.07023343443870544,0.9022600650787354,0.052236842105263165
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.14811837673187256,0.7326416969299316,0.04986842105263156
$a$ -- $u_1$ | $c_{1}$,0.049842171370983124,0.9713641405105591,0.03921052631578947
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.11009523272514343,0.803181529045105,0.042763157894736836
$a$ -- $u_2$ | $c_{1}$,0.05713595449924469,0.9564449787139893,0.033289473684210535
