,C2ST Accuracy
$v$,0.5522875
$v_{\mathrm{diff}}$,0.5007375000000001
$a$,0.5823125
$\tau$,0.557825
$s_v$,0.5350625
$s_\tau$,0.5499
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.51125
$a$ -- $u_1$ | $c_{1}$,0.5203
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.518
$a$ -- $u_2$ | $c_{1}$,0.5198750000000001
_mean_accuracy_,0.534755
_joint_c2st_,0.8539750000000002
