,C2ST Accuracy
$v$,0.5051499999999999
$v_{\mathrm{diff}}$,0.5648125
$a$,0.5256125
$\tau$,0.5084875
$s_v$,0.5271875
$s_\tau$,0.5260125
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.524675
$a$ -- $u_1$ | $c_{1}$,0.5214375
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.5649499999999998
$a$ -- $u_2$ | $c_{1}$,0.5338499999999999
_mean_accuracy_,0.5302174999999999
_joint_c2st_,0.9397249999999999
