,C2ST Accuracy
$v$,0.5049875
$v_\theta$,0.5061375000000001
$a$,0.5056375
$\tau$,0.5153625
$s_v$,0.5110750000000001
$s_\tau$,0.50395
_mean_accuracy_,0.5078583333333334
_joint_c2st_,0.5359625
