,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.04529266386846739,0.9754679949565422,0.01039473684210529,3.0609586582805846
$v_\theta$,0.09050213316360457,0.9410046689339545,0.010526315789473717,2.5987591074870036
$a$,0.031103728082010822,0.9872085540525977,0.05631578947368415,2.335137825602314
$\tau$,0.05392680612366272,0.9754556458592525,0.011842105263157876,2.1508126868180306
