Condition,NRMSE,Calibration Error,Posterior Contraction
No SAB,0.001858569681644412,-0.001743421052631592,-0.0031534209847450256
No MAB,0.1810621268426379,0.0042105263157894875,-0.8078015521168709
No FiLM,-0.007201185449957848,-0.0017653508771929768,0.00910302748282743
No Fourier,-0.004481588179866491,-0.0021491228070175186,0.009698482851187351
