Condition,NRMSE,Calibration Error,Posterior Contraction
Baseline,0.0954613834619522,0.02495614035087718,0.8328591485818228
No SAB,0.10232945096989465,0.0217324561403508,0.8248147964477539
No MAB,0.24922454853852585,0.025942982456140296,0.07719984153906502
No FiLM,0.08651103700200714,0.021907894736842067,0.8446185489495596
No Fourier,0.0901221285263697,0.019276315789473614,0.8196480373541514
