,NRMSE,Posterior Contraction,Calibration Error
$v$,0.21643304824829102,0.9183354377746582,0.26500000000000007
$v_\theta$,0.28172844648361206,0.3729249835014343,0.1653947368421053
$a$,0.06668415665626526,0.9538480043411255,0.06328947368421056
$\tau$,0.06169575825333595,0.9570571184158325,0.06236842105263157
$v_\theta$ -- $u_1$ | $c_{1}$,0.24357713758945465,0.5876419544219971,0.24750000000000005
$a$ -- $u_1$ | $c_{1}$,0.03757672756910324,0.9858683943748474,0.029078947368420982
$v_\theta$ -- $u_2$ | $c_{1}$,0.24180731177330017,0.5970954895019531,0.24500000000000005
$a$ -- $u_2$ | $c_{1}$,0.04094040021300316,0.9869474172592163,0.02368421052631578
