;NRMSE;Log Gamma;Calibration Error;Posterior Contraction
0;0.14910120302047353;-5.380831614929662;0.04578947368421055;0.5785259642627809
1;0.14701627847330317;3.7920198666206657;0.012631578947368383;0.6394587142256368
2;0.10720839769391806;0.020639017607411336;0.055394736842105226;0.819129709415926
3;0.06143260966886721;0.7940732601060863;0.02144736842105266;0.9522683726516856
4;0.21677830086049127;1.8820161044819606;0.023421052631578954;0.34194068015117957
5;0.07954744667638697;3.545909592285593;0.018552631578947404;0.9215896007511397
6;0.15377748174898176;3.598825855228341;0.014342105263157878;0.7567660817070329
7;0.13260131621634397;2.2566587340645468;0.012368421052631598;0.846569521769853
8;0.0731521698475022;3.345903003988149;0.011184210526315796;0.9398831442523623
9;0.042158387627709765;1.5180959829384237;0.03381578947368419;0.9869652543040087
10;0.20721970664276185;0.6958223926646485;0.012500000000000011;0.4585612352519133
11;0.14202706780721133;2.519753449501051;0.01710526315789479;0.7491442083693097
12;0.11480075586802113;1.8643674716168497;0.012236842105263102;0.8252479309036317
13;0.06308357788316055;3.1285663788282423;0.008815789473684221;0.9398699646936338
14;0.04790265645558979;-0.2052355821197148;0.02881578947368424;0.9859292228420293
15;0.1569017365104447;3.4514419739946787;0.017763157894736814;0.6201701624360645
16;0.14959728732839656;3.5522809232963857;0.01776315789473687;0.7652554782049115
17;0.07130302306312263;0.37743443404710136;0.031315789473684186;0.9470331227236951
