model,scenario,mean_accuracy_mean,mean_accuracy_sem,joint_c2st_mean,joint_c2st_sem
DDM,Family_vs_BF,0.5098656666666667,0.0022208205864627916,0.693075,0.06705141345918818
DDM,Class_vs_Family,0.5072528333333334,0.0008082705345021813,0.6399050000000001,0.04912308386848284
RDM,Family_vs_BF,0.5179323541666667,0.0061453189900946064,0.7057724999999999,0.07439386645164373
RDM,Class_vs_Family,0.5095084722222223,0.0004931581783852011,0.6022125,0.03341215604948294
CDM,Family_vs_BF,0.5083375972222222,0.002305175461222326,0.6684650000000001,0.06759513913274384
CDM,Class_vs_Family,0.5093111875,0.0010210228021450066,0.634605,0.04079676775646571
