model,scenario,NRMSE_mean,NRMSE_sem,Calibration Error_mean,Calibration Error_sem,Posterior Contraction_mean,Posterior Contraction_sem
DDM,BayesGPT_Family,12.92513373068097,1.6687963117417168,11.450292308522046,10.014480303941436,-2.9857079827312702,0.8532630649351828
DDM,BayesGPT_ModelClass,7.102784731766195,0.6162949255811384,84.66484135456727,18.37429523345953,-2.7038697223331583,0.4164133572667203
RDM,BayesGPT_Family,-0.647169421097217,2.644946584192743,4.907369363948627,17.230339658012095,-2.4665500436300825,0.759904129170034
RDM,BayesGPT_ModelClass,5.834375322618348,0.5922079975619968,88.34814527122846,20.782438674689676,-6.779353575972395,1.4193868228230364
CDM,BayesGPT_Family,14.586155120540461,2.0556059684692527,35.820645128619105,12.844672939688996,-3.5966679250429534,0.9550839656137513
CDM,BayesGPT_ModelClass,5.262570236403419,0.7666332084305635,85.83965163108824,25.17220178650614,-1.998237862854111,1.10036131483875
