;$v$;$a$;$\tau$;$s_v$;$s_\tau$
NRMSE;0.04138987850270398;0.1059551676982412;0.07385459572280258;0.17960016692912695;0.05493980598562008
Posterior Contraction;0.9851755231029548;0.8696723047677508;0.9046188178671266;0.6768491325444703;0.9775962789691073
Calibration Error;0.018859649122807076;0.03543859649122809;0.025964912280701746;0.00921052631578953;0.024912280701754386
