;NRMSE;Calibration Error;Posterior Contraction
0;0.20240675313668582;0.2094736842105263;0.7843892177692575
1;0.1458479976070431;0.024210526315789488;0.7174912111611083
2;0.16557838808727043;0.25000000000000006;0.9208519660499118
3;0.12965952198765798;0.31000000000000005;0.9856662773361937
4;0.22612495244180586;0.03394736842105259;0.2809079968200442
5;0.14029096376301992;0.23250000000000007;0.9613076355790864
6;0.08723847453889558;0.05499999999999998;0.9229487270111741
7;0.03545951224745987;0.10842105263157895;0.9912081098845469
8;0.09207367130190712;0.10276315789473686;0.9184710944612289
9;0.030086059689903022;0.15789473684210528;0.9919465500367826
