;$v$;$a$;$\tau$
NRMSE;2.1712868437439;1.7319616478619122;0.47939953476290315
Log Gamma;0.6792046417007417;0.7711658649737481;-1.0529009330191752
Calibration Error;0.20307017543859654;0.11456140350877195;0.16666666666666669
Posterior Contraction;0.0;0.0;0.7770502971328508
