;NRMSE;Log Gamma;Calibration Error;Posterior Contraction
0;0.1014719082853658;4.31526058347549;0.016842105263157894;0.880508468186934
1;0.07858149704111897;2.4771298195796776;0.02223684210526315;0.9335205509939417
2;0.057783897987832955;-0.32902433104742396;0.02381578947368418;0.937693555191867
3;0.06267520191696177;1.8365870004800076;0.018157894736842133;0.9628698438092297
4;0.191730487601765;2.6184701521864056;0.00842105263157894;0.38545595448658054
5;0.13809872392817768;3.7008747514589055;0.017500000000000016;0.7992339825156157
6;0.13232408307095017;1.785572323820513;0.02500000000000005;0.8116462589911749
7;0.057160276124217674;3.3666061829328737;0.01105263157894737;0.9632632660149986
8;0.07157880828873453;3.6847987514513174;0.01960526315789475;0.9410725852744224
9;0.04702219912416469;2.3736262230688747;0.021447368421052604;0.9839757056735612
10;0.20629977186141218;0.5538033658473746;0.015526315789473666;0.2665415113652106
11;0.10440145235459791;2.594637400695715;0.023947368421052606;0.9109919113227773
12;0.10742767556324054;3.2924135444829283;0.01710526315789475;0.8232735475712984
13;0.05169514413941212;0.8812347005212909;0.017368421052631547;0.9647044255778594
14;0.06389136908784493;1.4093806783279048;0.01671052631578948;0.9410312758134645
15;0.06753157115458609;1.2522191863995167;0.02526315789473682;0.9791679626435592
16;0.18888600602794142;2.1190805016270944;0.009078947368421061;0.27563392417602683
17;0.10349167627031157;3.38544677448152;0.009999999999999953;0.9113380095238646
18;0.13442358649924258;2.594637400695715;0.04092105263157897;0.6431400796425532
19;0.09243718625359909;4.2320311737844465;0.011842105263157932;0.9142490246068202
20;0.07658177170116284;1.2773609260274;0.018947368421052657;0.8967268703068436
21;0.05036143233359379;2.325536141835918;0.041842105263157875;0.9766058590922155
22;0.230816043777763;1.5768234992014594;0.02105263157894738;0.2548926113245395
23;0.13300358884776164;3.766368399088577;0.023684210526315808;0.8700062213859318
