;NRMSE;Log Gamma;Calibration Error;Posterior Contraction
0;0.07366093293015492;4.175394440347412;0.011052631578947368;0.9256695098447287
1;0.10441645803723808;4.46752447849495;0.015789473684210548;0.8240865588739742
2;0.058120146195752106;-0.7264741471504552;0.02657894736842105;0.9599258217869697
3;0.055674953411825455;1.6741809532971421;0.05289473684210522;0.9615984842099548
4;0.24991044605824275;2.1674452328416796;0.01565789473684212;0.027895039422662082
5;0.11175086922768077;1.3867232998114383;0.03144736842105267;0.8269519153347762
6;0.09253125488294328;2.254400423633447;0.015131578947368399;0.8988434273539623
7;0.09092895199574029;0.15027797216726876;0.038157894736842085;0.8939450654382756
8;0.038887820754131705;3.0861988452884073;0.01723684210526316;0.9748436908355604
9;0.050835970548083434;1.3286284182016257;0.01960526315789475;0.9805591344330274
10;0.18010250966447378;3.125786128158637;0.016578947368421026;0.28622654996480046
11;0.11288296933760888;2.499850479193298;0.023157894736842058;0.888267666121614
12;0.08669843524238005;0.35234496846572255;0.03210526315789472;0.9024586294593979
13;0.11041015857744194;2.5770344136393817;0.013684210526315799;0.9032168056080018
14;0.051268219071210916;2.604859203550611;0.014605263157894732;0.9741084082583968
15;0.04593662870723708;-1.3151615972454087;0.029736842105263145;0.9819539677210771
16;0.23252126789946953;0.8508183848661319;0.060263157894736824;0.10606209010087103
17;0.1238139202896043;2.924078183595312;0.0164473684210526;0.8652630167241702
18;0.12136230586909894;3.061049105791029;0.019078947368421084;0.8002388306122962
19;0.12527340631961553;2.5294421268954;0.03381578947368422;0.810384566344925
20;0.07421775112251061;3.8728474755756817;0.007368421052631583;0.934004311795792
21;0.06335895599351726;1.4774997515264414;0.014473684210526288;0.9703020209275146
22;0.2558752096913542;3.3336726895558324;0.023421052631578898;0.04543210027993405
23;0.1398719919805055;3.5649959744376827;0.02026315789473679;0.7962147325478484
