;$\beta_{v,0}$;$\beta_{a,0}$;$\tau$;$s_v$;$s_\tau$;$\beta_{v,1}$;$\beta_{a,1}$;$\beta_{v,2}$;$\beta_{a,2}$
NRMSE;0.09971580113741774;0.2097894972771866;0.09563016430571195;0.23564356904266515;0.06838066178553354;0.2428966105922545;0.17592720566202666;0.23370663146515536;0.20219396711318943
Posterior Contraction;0.8359104782610224;0.12192942261755968;0.8566222207815757;0.5333785905967766;0.9727465855260717;0.254428227004606;0.45998317869345834;0.21969739224893597;0.5479292631415787
Calibration Error;0.010000000000000023;0.018684210526315786;0.022719298245614;0.020175438596491235;0.01614035087719301;0.011140350877192978;0.008245614035087723;0.011315789473684182;0.029210526315789465
