id,rt,color,word,resp,session,congruent
2,1.12,1,1,1,0,1
2,1.249,0,2,0,0,0
2,1.182,2,2,2,0,1
2,0.937,0,0,0,0,1
2,0.873,2,2,2,0,1
2,1.147,0,0,0,0,1
2,1.281,1,0,1,0,0
2,0.884,1,1,1,0,1
2,1.265,0,1,0,0,0
2,1.047,2,1,2,0,0
2,0.989,2,0,2,0,0
3,0.621,2,2,2,0,1
3,0.673,2,1,2,0,0
3,0.915,1,0,1,0,0
3,0.714,1,2,1,0,0
3,0.756,0,1,0,0,0
3,0.612,2,2,2,0,1
3,0.66,1,1,1,0,1
3,0.828,2,0,2,0,0
3,1.21,0,0,0,0,1
3,0.743,2,1,2,0,0
3,0.724,0,2,0,0,0
3,0.63,2,2,2,0,1
3,0.694,0,0,0,0,1
3,0.847,0,0,0,0,1
3,0.757,2,0,2,0,0
3,1.375,2,0,2,0,0
3,0.975,1,0,1,0,0
3,0.533,1,1,1,0,1
3,0.972,0,0,0,0,1
3,0.739,2,2,2,0,1
3,0.772,2,2,2,0,1
3,0.707,1,1,1,0,1
3,0.983,0,0,0,0,1
3,0.599,2,0,2,0,0
3,1.051,0,1,0,0,0
3,0.751,0,0,0,0,1
3,0.921,2,2,2,0,1
3,1.26,1,1,1,0,1
3,1.077,0,1,0,0,0
3,0.936,1,2,1,0,0
3,0.922,2,2,2,0,1
3,0.849,0,0,0,0,1
3,0.771,0,0,0,0,1
3,0.947,0,2,0,0,0
3,0.836,2,2,2,0,1
3,0.776,1,0,1,0,0
3,0.731,2,0,2,0,0
3,0.533,2,2,2,0,1
3,0.539,2,2,2,0,1
3,1.369,2,2,2,0,1
3,0.66,2,2,2,0,1
3,0.97,1,0,1,0,0
3,0.883,0,2,0,0,0
3,0.769,1,1,1,0,1
3,0.702,1,0,1,0,0
3,0.711,1,2,1,0,0
3,1.21,0,0,0,0,1
3,0.751,2,0,2,0,0
3,0.68,0,0,0,0,1
3,0.611,0,2,0,0,0
3,0.803,1,1,1,0,1
3,0.692,0,0,0,0,1
3,1.153,0,2,0,0,0
3,0.902,2,1,2,0,0
3,0.722,0,0,0,0,1
3,0.713,0,0,0,0,1
3,0.683,2,2,2,0,1
3,1.211,2,1,2,0,0
3,0.759,2,1,2,0,0
3,0.946,1,2,1,0,0
3,0.656,1,1,1,0,1
3,0.604,1,1,1,0,1
3,1.081,1,0,1,0,0
3,1.004,0,1,0,0,0
3,0.731,1,1,1,0,1
3,0.825,1,1,1,0,1
3,0.468,1,1,1,0,1
3,1.195,2,0,2,0,0
3,0.857,0,1,0,0,0
3,0.822,2,1,2,0,0
3,0.929,0,0,0,0,1
3,0.854,1,0,1,0,0
3,0.553,1,1,1,0,1
3,0.544,1,1,1,0,1
3,1.12,0,1,0,0,0
3,1.011,1,2,1,0,0
3,1.261,0,1,0,0,0
3,0.766,0,2,0,0,0
3,0.751,0,2,0,0,0
3,0.722,2,0,2,0,0
3,0.699,2,2,2,0,1
3,0.565,1,2,1,0,0
3,0.907,2,2,2,0,1
3,0.545,0,2,0,0,0
3,0.572,0,0,0,0,1
3,0.531,1,1,1,0,1
3,0.673,1,2,1,0,0
3,0.531,2,2,2,0,1
3,0.736,2,1,2,0,0
3,0.876,1,0,1,0,0
3,0.576,1,1,1,0,1
3,0.493,1,2,1,0,0
3,0.703,0,1,0,0,0
3,0.711,1,1,1,0,1
4,0.521,0,0,0,0,1
4,0.589,0,0,0,0,1
4,0.619,2,2,2,0,1
4,0.776,0,0,0,0,1
4,0.522,2,2,2,0,1
4,0.492,2,2,2,0,1
4,0.475,1,1,1,0,1
4,0.744,0,2,0,0,0
4,0.597,1,1,1,0,1
4,0.534,1,2,1,0,0
4,0.462,1,0,1,0,0
4,0.628,0,0,0,0,1
4,0.477,2,2,2,0,1
4,0.592,1,1,1,0,1
4,0.653,0,2,0,0,0
4,0.576,0,0,0,0,1
4,0.572,2,0,2,0,0
4,0.5,2,2,2,0,1
4,0.525,2,1,2,0,0
4,0.539,1,1,1,0,1
4,0.554,1,1,1,0,1
4,0.644,0,1,0,0,0
4,0.667,2,1,2,0,0
4,0.617,2,2,2,0,1
4,0.906,1,2,1,0,0
4,0.8,0,0,0,0,1
4,0.639,2,0,2,0,0
4,0.478,1,1,1,0,1
4,0.56,2,2,2,0,1
4,0.514,1,0,1,0,0
4,0.495,1,2,2,0,0
4,0.58,1,1,1,0,1
4,0.734,1,1,1,0,1
4,0.619,0,0,0,0,1
4,0.568,1,1,1,0,1
4,0.857,0,1,0,0,0
4,0.464,0,0,0,0,1
4,0.506,2,2,2,0,1
4,0.638,0,0,0,0,1
4,0.446,0,0,0,0,1
4,0.613,1,0,1,0,0
4,0.754,0,1,0,0,0
4,0.971,1,0,1,0,0
4,0.537,2,2,2,0,1
4,0.464,2,2,2,0,1
4,0.831,2,0,2,0,0
4,0.664,0,0,0,0,1
4,0.874,0,2,0,0,0
4,0.594,1,0,1,0,0
4,0.732,0,2,0,0,0
4,0.749,0,1,0,0,0
4,0.688,2,1,2,0,0
4,0.536,2,1,2,0,0
4,0.417,2,2,2,0,1
4,0.598,0,0,0,0,1
4,0.488,0,0,0,0,1
4,0.577,1,1,1,0,1
4,0.42,1,2,1,0,0
4,0.953,0,2,0,0,0
4,0.52,2,2,2,0,1
4,0.937,2,0,2,0,0
4,0.474,0,2,0,0,0
4,0.768,1,0,1,0,0
4,0.647,1,1,1,0,1
4,0.526,0,0,0,0,1
4,1.098,1,2,1,0,0
4,1.02,2,0,2,0,0
4,0.543,2,2,2,0,1
4,0.798,0,2,0,0,0
4,0.564,1,1,1,0,1
4,0.73,1,2,1,0,0
4,0.562,0,0,0,0,1
4,0.855,2,1,2,0,0
4,0.617,1,1,1,0,1
4,0.483,1,2,1,0,0
4,0.77,2,0,2,0,0
4,0.849,1,0,1,0,0
4,0.699,0,1,0,0,0
4,0.603,1,1,1,0,1
4,0.692,2,1,2,0,0
4,0.855,0,1,0,0,0
4,1.083,2,0,2,0,0
4,0.896,0,1,0,0,0
4,0.67,2,0,2,0,0
4,0.527,1,1,1,0,1
4,0.461,2,2,2,0,1
4,0.42,2,1,2,0,0
4,0.667,1,2,1,0,0
4,0.507,0,0,0,0,1
4,0.528,1,1,1,0,1
4,0.706,0,1,0,0,0
4,0.525,2,2,2,0,1
4,0.671,1,0,1,0,0
4,0.57,0,2,0,0,0
4,0.825,2,1,2,0,0
4,0.469,2,2,2,0,1
5,0.773,2,2,2,0,1
5,0.687,0,0,0,0,1
5,0.81,2,2,2,0,1
5,0.652,2,2,2,0,1
5,0.736,0,2,0,0,0
5,0.906,1,2,1,0,0
5,0.709,1,1,1,0,1
5,1.176,2,0,2,0,0
5,0.866,1,1,1,0,1
5,0.58,1,1,1,0,1
5,1.023,2,2,2,0,1
5,1.331,1,2,1,0,0
5,0.686,0,1,0,0,0
5,0.863,1,1,1,0,1
5,0.674,2,2,2,0,1
5,0.797,1,0,1,0,0
5,0.76,2,1,2,0,0
5,0.722,2,0,2,0,0
5,0.541,2,2,2,0,1
5,1.176,0,2,0,0,0
5,0.763,2,1,2,0,0
5,1.078,1,2,1,0,0
5,0.657,1,2,1,0,0
5,0.828,0,0,0,0,1
5,0.767,1,1,1,0,1
5,1.106,1,2,1,0,0
5,1.085,2,2,2,0,1
5,0.768,0,2,0,0,0
5,0.819,1,1,1,0,1
5,0.83,0,1,0,0,0
5,0.689,0,0,0,0,1
5,1.068,1,0,2,0,0
5,0.919,2,1,2,0,0
5,0.825,2,0,2,0,0
5,0.804,0,2,0,0,0
5,1.143,2,2,2,0,1
5,0.754,0,0,0,0,1
5,0.9,2,0,2,0,0
5,0.887,1,1,1,0,1
5,1.064,1,2,1,0,0
5,0.898,0,1,0,0,0
5,0.749,0,0,0,0,1
5,0.92,2,2,2,0,1
5,0.971,0,2,0,0,0
5,1.206,2,0,2,0,0
5,0.548,2,2,2,0,1
5,0.647,0,1,0,0,0
5,0.802,1,1,1,0,1
5,0.813,0,1,0,0,0
5,0.831,1,0,1,0,0
5,0.691,1,1,1,0,1
5,1.15,2,2,2,0,1
5,0.897,2,0,2,0,0
5,1.004,1,0,1,0,0
5,0.71,2,2,2,0,1
5,0.977,0,0,0,0,1
5,0.884,1,1,1,0,1
5,0.855,1,0,1,0,0
5,0.986,2,0,2,0,0
5,0.573,2,2,2,0,1
5,1.151,0,0,0,0,1
5,1.045,1,0,1,0,0
5,1.064,2,1,2,0,0
5,0.755,0,0,0,0,1
5,0.742,1,1,1,0,1
5,0.665,1,1,1,0,1
5,0.637,1,1,1,0,1
5,1.151,0,2,0,0,0
5,1.154,1,2,1,0,0
5,1.044,1,0,1,0,0
5,0.927,0,2,0,0,0
5,0.626,2,2,2,0,1
5,0.805,0,1,0,0,0
5,0.64,0,0,0,0,1
5,0.779,2,1,2,0,0
5,0.71,0,0,0,0,1
5,0.889,0,2,0,0,0
5,0.679,0,0,1,0,1
5,0.554,0,0,0,0,1
