id,speed_condition,difficulty,resp_deviation,rt
1,0,2,-0.73076,1.7495
1,0,2,0.045427,0.92531
1,0,2,0.12967,0.68294
1,0,3,-0.22149,0.69859
1,0,3,-0.052538,2.2989
1,0,2,-0.049908,1.0594
1,0,2,-0.042035,1.0111
1,0,3,-1.0787,0.68237
1,0,1,-0.0538,0.84342
1,0,1,-0.0105,1.2653
1,0,2,-0.275,1.0834
1,0,1,0.041992,0.9002
1,0,2,0.083603,0.97414
1,0,3,-0.078977,1.166
1,0,2,-0.097529,0.82511
1,0,2,0.097143,0.81511
1,0,1,-0.068468,0.71711
1,0,3,0.019856,0.93055
1,0,3,-0.20803,0.94921
1,0,3,-0.87454,1.6071
1,0,3,-0.0091924,1.1798
1,0,1,-0.0441,0.85932
1,0,1,0.12938,0.84354
1,0,1,0.19676,0.88485
1,0,2,-0.10019,0.83895
1,0,1,0.013425,0.92471
1,0,1,-0.11951,0.76782
1,0,1,-0.02141,0.83433
1,0,3,-0.1603,0.78513
1,0,2,-0.12144,0.7862
1,0,1,-0.13281,0.74393
1,0,3,0.40701,1.3683
1,0,1,-0.021445,0.85042
1,0,3,0.24179,1.0414
1,0,1,0.027202,0.83993
1,0,2,-0.0076163,0.72283
1,0,1,0.073258,0.71671
1,0,1,-0.23925,0.72213
1,0,3,-0.50735,0.86203
1,0,3,0.10172,1.002
1,0,3,0.1883,1.4932
1,0,3,0.33636,0.96195
1,0,2,0.51124,1.2178
1,0,2,0.21746,0.95258
1,0,3,-0.29944,1.2346
1,0,2,0.27461,0.99877
1,0,2,-0.12973,1.9994
1,0,1,0.10429,1.8597
1,0,2,-0.23742,1.4478
1,0,1,0.065711,1.0362
1,0,2,0.41627,1.5352
1,0,3,-0.30539,2.2114
1,0,1,0.028037,1.6321
1,0,3,-0.57504,1.2626
1,0,2,-0.049786,1.7317
1,0,1,-0.12858,0.80619
1,0,3,-0.48625,0.72319
1,0,1,0.76307,0.43798
1,0,1,0.06628,0.58089
1,0,1,-0.14428,0.65925
1,0,3,0.19757,0.91567
1,0,2,-0.23374,0.67345
1,0,1,-0.0081501,0.61993
1,0,1,0.1034,2.33
1,0,3,-0.10871,1.2509
1,0,1,0.14606,0.95676
1,0,2,0.024799,0.8957
1,0,3,0.18503,0.88417
1,0,3,0.33824,0.83532
1,0,1,-0.17626,0.75589
1,0,3,-0.44167,1.2926
1,0,2,-0.047323,1.0964
1,0,3,-0.51901,1.0804
1,0,3,-0.25376,1.3086
1,0,3,-0.99074,0.84205
1,0,1,0.024140000000000002,0.71824
1,0,1,0.057169,0.74261
1,0,2,-0.0031175,1.0792
1,0,1,0.022942,1.1661
1,0,2,0.26175,0.84729
1,0,2,0.11999,0.84522
1,0,2,0.32164,0.79006
1,0,2,0.20741,1.1186
1,0,3,0.04186,1.2284
1,0,2,-0.13699,1.1803
1,0,2,-0.051165,0.87483
1,1,3,0.15615,1.1183
1,1,1,-0.27989000000000003,0.50882
1,1,2,0.1871,0.49423
1,1,3,0.048804,0.54599
1,1,1,0.084662,0.55375
1,1,3,0.77431,0.62615
1,1,1,0.030679,0.49406
1,1,3,-0.15263,0.55783
1,1,2,-0.10996,0.5678
1,1,3,-0.92235,0.64245
1,1,2,0.17294,0.5331
1,1,1,-0.23965,0.51398
1,1,1,-0.24641,0.56502
1,1,3,-0.17619,0.57603
1,1,1,-0.41709,0.53066
1,1,1,-0.087199,0.52107
1,1,3,-1.1325,0.5928
1,1,2,-0.030041000000000002,0.60827
1,1,2,0.080093,0.63496
1,1,2,0.20651,0.71624
1,1,1,0.011702,0.54155
1,1,1,-0.072339,0.5138
1,1,3,-0.4593,0.54741
1,1,3,1.5116,0.69941
1,1,1,-0.066193,0.68555
1,1,2,0.27896,0.7345
1,1,2,0.53261,0.67543
1,1,2,-0.23972,0.55288
1,1,3,-0.74072,0.54899
1,1,2,0.20089,0.55694
1,0,2,-0.27101,0.65183
1,0,1,-0.22647,0.68628
1,0,1,0.042734,0.80525
1,0,1,0.13642,0.78217
1,0,3,0.17134,0.75224
1,0,3,-0.30717,0.94644
1,0,3,0.49711,1.1129
1,0,1,0.12286,0.74406
1,0,3,0.45924,1.2966
1,0,1,0.11715,2.499
1,0,1,0.065069,0.72515
1,0,3,-1.4777,1.0725
1,0,2,0.28534,0.75221
1,0,2,0.26784,0.75538
1,0,3,-0.17043,0.75981
1,0,2,-0.012221,0.73794
1,0,1,0.17242,0.71869
1,0,2,0.094467,0.70503
1,0,2,0.09211,0.74686
1,0,3,0.35515,0.80741
1,0,1,-0.14794,0.65018
1,0,1,-0.037712,0.71816
1,0,1,-0.04573,0.78421
1,0,3,0.7551,0.98081
1,0,2,0.1818,0.8244
1,0,2,-0.052596,0.98068
1,0,2,-0.082125,1.0454
1,0,3,-0.1997,1.4945
1,0,3,-0.51045,0.76525
1,0,2,-0.16785,0.71442
1,1,2,-0.20366,0.58965
1,1,1,-0.017976,0.59683
1,1,1,-0.011466,0.55987
1,1,1,0.38571,0.57397
1,1,2,0.066807,0.62402
1,1,1,0.083961,0.61168
1,1,1,0.056565,0.58488
1,1,1,-0.099665,0.69403
1,1,3,0.69548,0.57397
1,1,3,-0.07505,0.73303
1,1,3,-0.42916,0.55707
1,1,2,0.1283,0.62686
1,1,2,0.12505,0.64706
1,1,2,0.29046,0.57815
1,1,3,-0.56982,0.82132
1,1,2,-0.17063,0.65297
1,1,3,0.60383,0.58697
1,1,1,-0.064389,0.60028
1,1,3,-0.13463,0.63893
1,1,2,0.10748,0.70498
1,1,3,-0.58734,0.64032
1,1,2,-0.05933,0.63499
1,1,3,0.11394,0.65986
1,1,1,0.039019,0.67591
1,1,3,-1.3287,1.2736
1,1,2,0.1469,0.99555
1,1,1,0.13449,0.65155
1,1,1,0.0050323,0.70899
1,1,3,-0.68039,1.2013
1,1,2,-0.29438,0.91109
1,1,2,1.5079,1.1184
1,1,1,0.088618,0.56409
1,1,1,-0.13223,0.61279
1,1,3,0.54612,0.7508
1,1,2,-0.18391,0.55798
1,1,3,0.052345,0.67061
1,1,1,-0.28949,0.63766
1,1,3,-0.15601,0.79595
1,1,2,0.064008,1.1781
1,1,2,0.15257,0.67118
1,1,2,0.15986,0.6309
1,1,3,0.88872,1.1603
1,1,3,-0.75561,0.58583
1,1,2,-0.68324,0.59355
1,1,3,0.38969,0.60996
1,1,2,0.079166,0.64063
1,1,2,-0.73157,0.6362
1,1,3,-0.67804,0.67478
1,1,2,0.21913,0.60813
1,1,3,-0.23512,0.5997
1,1,1,-0.032187,0.66298
1,1,1,-0.012514,0.67989
1,1,3,0.12648,0.70166
