,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.1548252205249221,0.6517890248811067,0.020394736842105243,3.1706022057668384
$v_{\mathrm{diff}}$,0.10962804559987341,0.8068752458255043,0.022894736842105246,3.881054282358482
$a$,0.08556579159979844,0.8734741771897103,0.008421052631578996,2.986808604062487
$\tau$,0.048793280240021206,0.9799376216955762,0.012499999999999956,4.192030416739624
$s_v$,0.21204553899607326,0.26538083713600025,0.011710526315789477,4.352023105501086
$s_\tau$,0.10505520148379677,0.8551537549561639,0.059868421052631654,1.38871457887097
