,C2ST Accuracy
$v$,0.5407249999999999
$v_{\mathrm{diff}}$,0.5607374999999999
$a$,0.5244875
$\tau$,0.5146124999999999
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.5153125000000001
$a$ -- $u_1$ | $c_{1}$,0.523025
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.5251125
$a$ -- $u_2$ | $c_{1}$,0.519275
_mean_accuracy_,0.5279109375
_joint_c2st_,0.9249875
