,NRMSE,Posterior Contraction,Calibration Error
$v$,0.15594252943992615,0.6263693571090698,0.008552631578947381
$v_{\mathrm{diff}}$,0.10686962306499481,0.8449385762214661,0.0259210526315789
$a$,0.11051645874977112,0.8377367258071899,0.02171052631578947
$\tau$,0.04472968727350235,0.9811792969703674,0.028684210526315784
$s_v$,0.22642679512500763,0.09786620736122131,0.04328947368421052
$s_\tau$,0.10598118603229523,0.8492830991744995,0.01407894736842108
