,C2ST Accuracy
$v$,0.513275
$v_\theta$,0.501675
$a$,0.516925
$\tau$,0.516975
$v$ -- $u_1$ | $c_{1}$,0.50775
$a$ -- $u_1$ | $c_{1}$,0.5021125
$v$ -- $u_2$ | $c_{1}$,0.5099125
$a$ -- $u_2$ | $c_{1}$,0.5002375
_mean_accuracy_,0.5086078125
_joint_c2st_,0.6640499999999999
