,C2ST Accuracy
$v$,0.502775
$v_\theta$,0.5063000000000001
$a$,0.509
$\tau$,0.5131
$v$ -- $u_1$ | $c_{1}$,0.5112375
$a$ -- $u_1$ | $c_{1}$,0.5113125000000001
$v$ -- $u_2$ | $c_{1}$,0.5068625
$a$ -- $u_2$ | $c_{1}$,0.5095625
_mean_accuracy_,0.50876875
_joint_c2st_,0.7015125
