,C2ST Accuracy
$v$,0.5124125
$v_{\mathrm{diff}}$,0.50885
$a$,0.5088750000000001
$\tau$,0.5086499999999999
_mean_accuracy_,0.509696875
_joint_c2st_,0.5246625
