,C2ST Accuracy
$v$,0.5048125
$v_{\mathrm{diff}}$,0.5004000000000001
$a$,0.5093125
$\tau$,0.5047625
_mean_accuracy_,0.504821875
_joint_c2st_,0.5178749999999999
